Source;Accuracy
Charter;0.9951928
Noto Serif;0.9807697
Ubuntu Regular;0.9807697
Noto Sans Regular;0.975962
Source Code Pro Regular;0.97115433
Cambria;0.97115433
Tahoma;0.97115433
Verdana;0.9711543
Source Sans 3 Regular;0.96634656
Times New Roman;0.96634656
Calibri;0.961539
Raleway Regular;0.96153885
Arial;0.96153885
Helvetica;0.9567312
PT Sans;0.95192355
Roboto Regular;0.94711584
Lato Regular;0.94230807
Montserrat Regular;0.93750036
Open Sans Regular;0.9182696
Oswald Regular;0.9182696
