Source;Accuracy
Charter;0.97115433
Tahoma;0.9663466
Noto Sans Regular;0.9615389
Verdana;0.9615389
PT Sans;0.95673126
Ubuntu Regular;0.95673126
Lato Regular;0.9567312
Helvetica;0.9567312
Noto Serif;0.9567312
Source Code Pro Regular;0.95192355
Arial;0.94711584
Cambria;0.94711584
Roboto Regular;0.9423081
Source Sans 3 Regular;0.9423081
Calibri;0.9423081
Montserrat Regular;0.9375004
Open Sans Regular;0.927885
Times New Roman;0.927885
Oswald Regular;0.91826963
Raleway Regular;0.9038466
